Segundo cuatrimestre | Primer curso | Grupo 1ºD | Metodología de la Programación (MP) — Teoría (aula 0.2): Lunes 17:30-19:30 Prácticas: subgrupo D1 Jueves 17:30-19:30 (aula 3.1); subgrupo D2 Martes 17:30-19:30 (aula 2.7); subgrupo D3 Viernes 17:30-19:30 (aula 2.3).
Segundo cuatrimestre | Primer curso | Grupo 1ºD | Tecnología y Organización de los Computadores (TOC) — Teoría (aula 0.2): Viernes 15:30-17:30 Prácticas: subgrupo D1 Martes 17:30-19:30 (aula 3.8); subgrupo D2 Viernes 17:30-19:30 (aula 3.8); subgrupo D3 Jueves 17:30-19:30 (aula 3.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºD | Asignaturas: Estadística (ES), Ingeniería, Empresa y Sociedad (IES), Lógica y Métodos Discretos (LMD), Metodología de la Programación (MP), Tecnología y Organización de los Computadores (TOC).
Primer cuatrimestre | Primer curso | Grupo 1ºE | Álgebra Lineal y Estructuras Matemáticas (ALEM) — Teoría (aula 0.3): Jueves 17:30-19:30, Viernes 18:30-19:30 Prácticas: subgrupo E1 Lunes 18:30-19:30 (aula 1.6); subgrupo E2 Martes 17:30-18:30 (aula 1.3); subgrupo E3 Viernes 16:30-17:30 (aula 1.4).
Primer cuatrimestre | Primer curso | Grupo 1ºE | Cálculo (CA) — Teoría (aula 0.3): Jueves 15:30-17:30, Viernes 17:30-18:30 Prácticas: subgrupo E1 Lunes 17:30-18:30 (aula 2.4); subgrupo E2 Martes 18:30-19:30 (aula 2.4); subgrupo E3 Viernes 15:30-16:30 (aula 2.6).
Primer cuatrimestre | Primer curso | Grupo 1ºE | Fundamentos Físicos y Tecnológicos (FFT) — Teoría (aula 0.3): Miércoles 17:30-19:30 Prácticas: subgrupo E1 Martes 17:30-19:30 (aula 3.6); subgrupo E2 Lunes 17:30-19:30 (aula 3.6); subgrupo E3 Miércoles 15:30-17:30 (aula 3.6).
Primer cuatrimestre | Primer curso | Grupo 1ºE | Fundamentos de Programación (FP) — Teoría (aula 0.3): Martes 15:30-17:30 Prácticas: subgrupo E1 Miércoles 15:30-17:30 (aula 2.2); subgrupo E2 Viernes 15:30-17:30 (aula 3.3); subgrupo E3 Martes 17:30-19:30 (aula 3.5).
Primer cuatrimestre | Primer curso | Grupo 1ºE | Fundamentos del Software (FS) — Teoría (aula 0.3): Lunes 15:30-17:30 Prácticas: subgrupo E1 Viernes 15:30-17:30 (aula 2.4); subgrupo E2 Miércoles 15:30-17:30 (aula 3.2); subgrupo E3 Lunes 17:30-19:30 (aula 3.5).
Primer cuatrimestre | Primer curso | Grupo 1ºE | Asignaturas: Álgebra Lineal y Estructuras Matemáticas (ALEM), Cálculo (CA), Fundamentos Físicos y Tecnológicos (FFT), Fundamentos de Programación (FP), Fundamentos del Software (FS).
Segundo cuatrimestre | Primer curso | Grupo 1ºE | Estadística (ES) — Teoría (aula 0.3): Miércoles 18:30-19:30, Jueves 15:30-17:30 Prácticas: subgrupo E1 Miércoles 16:30-17:30 (aula 3.2); subgrupo E2 Martes 15:30-16:30 (aula 2.3); subgrupo E3 Lunes 15:30-16:30 (aula 2.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºE | Ingeniería, Empresa y Sociedad (IES) — Teoría (aula 0.3): Lunes 17:30-19:30, Martes 17:30-19:30.
Segundo cuatrimestre | Primer curso | Grupo 1ºE | Lógica y Métodos Discretos (LMD) — Teoría (aula 0.3): Jueves 17:30-18:30, Viernes 17:30-19:30 Prácticas: subgrupo E1 Miércoles 15:30-16:30 (aula 1.8); subgrupo E2 Martes 16:30-17:30 (aula 1.8); subgrupo E3 Lunes 16:30-17:30 (aula 1.8).
